id,clubId,squadId,start,end,ActivityDate,Round,Opposition,Result,Activity_Type,Activity,Ground,Type,datasource
50,3,8,17-11-2015 15:37,17-11-2015 17:01,17-11-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
51,3,8,15-10-2015 02:19,15-10-2015 03:00,15-10-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
52,3,8,28-08-2015 10:35,28-08-2015 11:04,28-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
53,3,8,06-08-2015 10:17,06-08-2015 10:37,06-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
54,3,8,19-05-2016 19:00,19-05-2016 21:00,19-05-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
55,3,8,22-05-2016 11:04,22-05-2016 12:47,22-05-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
56,3,8,14-03-2016 14:38,14-03-2016 17:13,14-03-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
57,3,8,05-03-2016 11:20,05-03-2016 13:16,05-03-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
58,3,8,12-02-2016 14:10,12-02-2016 14:17,12-02-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
59,3,8,24-05-2016 19:15,24-05-2016 20:29,24-05-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
60,3,8,26-05-2016 18:44,26-05-2016 20:17,26-05-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
61,3,8,28-05-2016 18:48,28-05-2016 20:14,28-05-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
62,3,8,31-05-2016 18:14,31-05-2016 21:44,31-05-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
63,3,8,02-06-2016 18:16,02-06-2016 20:18,02-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
64,3,8,04-06-2016 18:40,04-06-2016 20:39,04-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
65,3,8,08-06-2016 18:22,08-06-2016 20:23,08-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
66,3,8,10-06-2016 18:49,10-06-2016 19:57,10-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
67,3,8,15-06-2016 18:37,15-06-2016 20:37,15-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
68,3,8,17-06-2016 18:41,17-06-2016 19:54,17-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
69,3,8,19-06-2016 11:17,19-06-2016 12:52,19-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
70,3,8,22-06-2016 18:03,22-06-2016 19:51,22-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
71,3,8,24-06-2016 18:30,24-06-2016 19:47,24-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
72,3,8,26-06-2016 18:17,26-06-2016 20:12,26-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
73,3,8,30-06-2016 19:23,30-06-2016 20:18,30-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
74,3,8,27-06-2016 18:04,27-06-2016 18:45,27-06-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
75,3,8,27-01-2016 12:14,27-01-2016 12:28,27-01-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
76,3,8,21-01-2016 15:45,21-01-2016 16:01,21-01-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
